id;startdate;enddate;content;headline;media;mediacaption;mediacredit;created_at;updated_at;latitude;longitude;event_year;event_month;event_day;thumbnail;media_filename
1;2014-02-07 00:00:00.000000;2014-02-23 00:00:00.000000;Sochi Olympics;Winter Olympics in Sochi ;https://www.youtube.com/watch?v=qKByVp3gjJA;Closing Ceremony;Ura;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;19;-96;1966;;;;
100;1966-1-1 00:00:00.000000;1966-1-1 00:00:00.000000;Americas;In or about this year, one person returning to Haiti from the Congo is thought to have first brought HIV to the Americas.;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=19,-96"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;19;-96;1492;8;3;;
101;1492-8-3 00:00:00.000000;1492-8-3 00:00:00.000000;Americas;August 3 - Christopher Columbus sails the ocean blue on his first journey across the Atlantic Ocean to Asia, but he ends up in the Americas;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=19,-96"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;19;-96;1507;4;25;;
102;1507-4-25 00:00:00.000000;1507-4-25 00:00:00.000000;Americas;April 25 - Martin Waldseem�ller publishes his world map, naming the new continent America in honour of Amerigo Vespucci (However, the accuracy of this is still debated).;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=19,-96"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;19;-96;1551;5;12;;
103;1551-5-12 00:00:00.000000;1551-5-12 00:00:00.000000;Americas;May 12 - The National University of San Marcos is founded in Lima (Peru), being the first officially established university in the Americas.;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=19,-96"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;19;-96;1619;7;30;;
104;1619-7-30 00:00:00.000000;1619-7-30 00:00:00.000000;Americas;July 30 - In Jamestown, Virginia, the first representative assembly in the Americas, the House of Burgesses, convenes for the first time.;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=19,-96"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;31.9333296;35.9333296;2005;11;9;;
105;2005-11-9 00:00:00.000000;2005-11-9 00:00:00.000000;Amman;November 9 - At least 50 people are killed and more than 120 injured in a series of coordinated suicide bombings in Amman, Jordan (See 2005 Amman bombings).;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=31.9333296,35.9333296"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;31.9333296;35.9333296;1970;9;7;;
106;1970-9-7 00:00:00.000000;1970-9-7 00:00:00.000000;Amman;Fighting breaks out between Arab guerillas and government forces in Amman, Jordan.;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=31.9333296,35.9333296"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;39.020439;31.289145;838;;0;;
107;838-1-1 00:00:00.000000;838-1-1 00:00:00.000000;Amorium;The Byzantine emperor Theophilos is heavily defeated at the Battle of Anzen by the Abbasids. Caliph al-Mu'tasim then proceeds to capture and raze Amorium, the native city of the Byzantine Empire's reigning Amorian dynasty.;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=39.020439,31.289145"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;39.020439;31.289145;708;;0;;
108;708-1-1 00:00:00.000000;708-1-1 00:00:00.000000;Amorium;Byzantine Empire: March?The Umayyads under Maslamah ibn Abd al-Malik capture and sack the Byzantine city of Tyana after a prolonged siege, and following a victory over a Byzantine relief army. Maslamah also leads another expedition in the summer, and defeats a Byzantine force near Amorium.Stanford, CA  isbn = 0-8047-2630-2  url = http://books.google.com/books?id=nYbnr5XVbzUC  page=341}}<;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=39.020439,31.289145"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;31.63;74.87;1984;6;5;;
109;1984-6-5 00:00:00.000000;1984-6-5 00:00:00.000000;Amritsar;June 5 - The Indian government begins Operation Blue Star, the planned attack on the Golden Temple in Amritsar.;"<img src=""http://maps.googleapis.com/maps/api/staticmap?&zoom=11&size=600x400&sensor=false&center=31.63,74.87"">";;;2014-02-25 01:08:04.639226;2014-02-25 01:08:04.639226;31.63;74.87;1984;6;6;;
